name,mscf,yearmonth,year,month,x,y
OML 04,340613.5488,2019-03,2019,03,5.968438975,6.041663716
OML 04,357898.1538,2019-04,2019,04,5.968438975,6.041663716
OML 04,514179.7919,2019-05,2019,05,5.968438975,6.041663716
OML 04,218818.7465,2019-06,2019,06,5.968438975,6.041663716
OML 04,250368.5304,2019-07,2019,07,5.968438975,6.041663716
OML 04,350528.4881,2019-08,2019,08,5.968438975,6.041663716
OML 04,234757.1778,2019-09,2019,09,5.968438975,6.041663716
OML 04,1077965.665,2019-10,2019,10,5.968438975,6.041663716
OML 04,667855.543,2019-11,2019,11,5.968438975,6.041663716
OML 04,1101855.28,2019-12,2019,12,5.968438975,6.041663716
OML 04,939892.9355,2020-01,2020,01,5.968438975,6.041663716
OML 04,458775.7026,2020-02,2020,02,5.968438975,6.041663716
OML 04,407881.3728,2020-03,2020,03,5.968438975,6.041663716
OML 04,632505.8436,2020-04,2020,04,5.968438975,6.041663716
OML 04,700736.7351,2020-05,2020,05,5.968438975,6.041663716
OML 04,269933.3213,2020-06,2020,06,5.968438975,6.041663716
OML 04,224557.5703,2020-07,2020,07,5.968438975,6.041663716
OML 04,614138.2248,2020-08,2020,08,5.968438975,6.041663716
OML 04,49290.2608,2020-09,2020,09,5.968438975,6.041663716
OML 04,98318.90733,2020-10,2020,10,5.968438975,6.041663716
OML 04,438684.0438,2020-11,2020,11,5.968438975,6.041663716
OML 04,401226.5638,2020-12,2020,12,5.968438975,6.041663716
OML 04,428928.359,2021-01,2021,01,5.968438975,6.041663716
OML 04,291367.6962,2021-02,2021,02,5.968438975,6.041663716
OML 04,588902.2265,2021-03,2021,03,5.968438975,6.041663716
OML 04,964572.9923,2021-04,2021,04,5.968438975,6.041663716
OML 04,759324.3316,2021-06,2021,06,5.968438975,6.041663716
OML 04,693884.5779,2021-07,2021,07,5.968438975,6.041663716
OML 04,9877.112394,2021-08,2021,08,5.968438975,6.041663716
OML 04,430949.0757,2021-10,2021,10,5.968438975,6.041663716
OML 04,514044.5177,2021-11,2021,11,5.968438975,6.041663716
OML 04,465406.1613,2021-12,2021,12,5.968438975,6.041663716
OML 04,318914.4331,2022-01,2022,01,5.968438975,6.041663716
OML 04,146504.4438,2022-02,2022,02,5.968438975,6.041663716
OML 04,144985.9794,2022-03,2022,03,5.968438975,6.041663716
OML 04,599346.123,2022-04,2022,04,5.968438975,6.041663716
OML 04,544829.1337,2022-05,2022,05,5.968438975,6.041663716
OML 04,535000.0111,2022-06,2022,06,5.968438975,6.041663716
OML 04,446980.4184,2022-07,2022,07,5.968438975,6.041663716
OML 04,305815.898,2022-08,2022,08,5.968438975,6.041663716
OML 04,53461.91705,2022-09,2022,09,5.968438975,6.041663716
OML 04,477179.4817,2022-10,2022,10,5.968438975,6.041663716
OML 04,494910.5774,2022-11,2022,11,5.968438975,6.041663716
OML 05,102461.1485,2014-01,2014,01,6.328746794,6.083030216
OML 05,130455.0474,2019-06,2019,06,6.328746794,6.083030216
OML 05,282581.847,2019-07,2019,07,6.328746794,6.083030216
OML 05,82826.28129,2019-08,2019,08,6.328746794,6.083030216
OML 05,117146.3819,2019-09,2019,09,6.328746794,6.083030216
OML 05,181915.2233,2019-10,2019,10,6.328746794,6.083030216
OML 05,160654.3702,2019-11,2019,11,6.328746794,6.083030216
OML 05,115807.5969,2019-12,2019,12,6.328746794,6.083030216
OML 05,157433.7186,2020-01,2020,01,6.328746794,6.083030216
OML 05,49022.72865,2020-02,2020,02,6.328746794,6.083030216
OML 05,74033.12847,2020-03,2020,03,6.328746794,6.083030216
OML 05,134700.8828,2020-04,2020,04,6.328746794,6.083030216
OML 05,100599.0167,2020-05,2020,05,6.328746794,6.083030216
OML 05,93349.44819,2020-06,2020,06,6.328746794,6.083030216
OML 05,72737.24394,2020-07,2020,07,6.328746794,6.083030216
OML 05,64580.7768,2020-08,2020,08,6.328746794,6.083030216
OML 05,35751.81206,2020-10,2020,10,6.328746794,6.083030216
OML 05,157859.4413,2020-11,2020,11,6.328746794,6.083030216
OML 05,61318.96315,2020-12,2020,12,6.328746794,6.083030216
OML 05,70167.86927,2021-01,2021,01,6.328746794,6.083030216
OML 05,46266.66032,2021-02,2021,02,6.328746794,6.083030216
OML 05,69423.8846,2021-03,2021,03,6.328746794,6.083030216
OML 05,37859.94528,2021-04,2021,04,6.328746794,6.083030216
OML 05,30389.96019,2021-06,2021,06,6.328746794,6.083030216
OML 05,93064.48781,2021-07,2021,07,6.328746794,6.083030216
OML 05,22943.30458,2021-09,2021,09,6.328746794,6.083030216
OML 05,96412.58519,2021-10,2021,10,6.328746794,6.083030216
OML 05,269057.5891,2021-11,2021,11,6.328746794,6.083030216
OML 05,58767.93737,2021-12,2021,12,6.328746794,6.083030216
OML 05,77684.59355,2022-01,2022,01,6.328746794,6.083030216
OML 05,57900.18416,2022-02,2022,02,6.328746794,6.083030216
OML 05,29860.35988,2022-03,2022,03,6.328746794,6.083030216
OML 05,52890.05253,2022-04,2022,04,6.328746794,6.083030216
OML 05,54131.62743,2022-05,2022,05,6.328746794,6.083030216
OML 05,56313.82404,2022-06,2022,06,6.328746794,6.083030216
OML 05,56752.96714,2022-07,2022,07,6.328746794,6.083030216
OML 05,54915.78736,2022-10,2022,10,6.328746794,6.083030216
OML 05,55351.88292,2022-11,2022,11,6.328746794,6.083030216
OML 100,119203.0186,2012-03,2012,03,7.791762278,3.949775475
OML 100,127797.5526,2012-04,2012,04,7.791762278,3.949775475
OML 100,130841.3021,2012-05,2012,05,7.791762278,3.949775475
OML 100,178013.3025,2012-06,2012,06,7.791762278,3.949775475
OML 100,89944.05284,2012-07,2012,07,7.791762278,3.949775475
OML 100,183018.1023,2012-08,2012,08,7.791762278,3.949775475
OML 100,102685.1088,2012-09,2012,09,7.791762278,3.949775475
OML 100,159558.2922,2012-10,2012,10,7.791762278,3.949775475
OML 100,132064.5325,2012-11,2012,11,7.791762278,3.949775475
OML 100,123158.1786,2012-12,2012,12,7.791762278,3.949775475
OML 100,103086.5405,2013-01,2013,01,7.791762278,3.949775475
OML 100,133045.1941,2013-02,2013,02,7.791762278,3.949775475
OML 100,145297.0965,2013-03,2013,03,7.791762278,3.949775475
OML 100,114269.1856,2013-04,2013,04,7.791762278,3.949775475
OML 100,93393.22111,2013-05,2013,05,7.791762278,3.949775475
OML 100,76144.34342,2013-06,2013,06,7.791762278,3.949775475
OML 100,169046.6387,2013-07,2013,07,7.791762278,3.949775475
OML 100,178102.5147,2013-08,2013,08,7.791762278,3.949775475
OML 100,122216.7597,2013-09,2013,09,7.791762278,3.949775475
OML 100,162009.0296,2013-10,2013,10,7.791762278,3.949775475
OML 100,125089.0749,2013-11,2013,11,7.791762278,3.949775475
OML 100,147763.9748,2013-12,2013,12,7.791762278,3.949775475
OML 100,124269.0294,2014-01,2014,01,7.791762278,3.949775475
OML 100,64578.4084,2014-02,2014,02,7.791762278,3.949775475
OML 100,123724.351,2014-03,2014,03,7.791762278,3.949775475
OML 100,149919.8045,2014-04,2014,04,7.791762278,3.949775475
OML 100,142604.0916,2014-05,2014,05,7.791762278,3.949775475
OML 100,192419.841,2014-06,2014,06,7.791762278,3.949775475
OML 100,134950.0223,2014-07,2014,07,7.791762278,3.949775475
OML 100,58287.53843,2014-08,2014,08,7.791762278,3.949775475
OML 100,153988.3378,2014-09,2014,09,7.791762278,3.949775475
OML 100,140614.288,2014-10,2014,10,7.791762278,3.949775475
OML 100,183103.7369,2014-11,2014,11,7.791762278,3.949775475
OML 100,106255.2496,2014-12,2014,12,7.791762278,3.949775475
OML 100,117945.45,2015-01,2015,01,7.791762278,3.949775475
OML 100,74865.16733,2015-02,2015,02,7.791762278,3.949775475
OML 100,88720.70751,2015-03,2015,03,7.791762278,3.949775475
OML 100,125108.22,2015-04,2015,04,7.791762278,3.949775475
OML 100,123484.2199,2015-05,2015,05,7.791762278,3.949775475
OML 100,88085.99135,2015-06,2015,06,7.791762278,3.949775475
OML 100,206673.4549,2015-07,2015,07,7.791762278,3.949775475
OML 100,38051.03242,2015-08,2015,08,7.791762278,3.949775475
OML 100,147822.4947,2015-09,2015,09,7.791762278,3.949775475
OML 100,113586.0025,2015-10,2015,10,7.791762278,3.949775475
OML 100,148198.2363,2015-11,2015,11,7.791762278,3.949775475
OML 100,152437.1907,2015-12,2015,12,7.791762278,3.949775475
OML 100,99142.24506,2016-01,2016,01,7.791762278,3.949775475
OML 100,55890.07001,2016-02,2016,02,7.791762278,3.949775475
OML 100,83473.38203,2016-03,2016,03,7.791762278,3.949775475
OML 100,56420.27258,2016-04,2016,04,7.791762278,3.949775475
OML 100,126158.4684,2016-05,2016,05,7.791762278,3.949775475
OML 100,141640.6668,2016-06,2016,06,7.791762278,3.949775475
OML 100,103753.0017,2016-07,2016,07,7.791762278,3.949775475
OML 100,50131.94251,2016-08,2016,08,7.791762278,3.949775475
OML 100,120583.1067,2016-09,2016,09,7.791762278,3.949775475
OML 100,175075.2324,2016-10,2016,10,7.791762278,3.949775475
OML 100,160217.9628,2016-11,2016,11,7.791762278,3.949775475
OML 100,127317.1645,2016-12,2016,12,7.791762278,3.949775475
OML 100,126782.4174,2017-01,2017,01,7.791762278,3.949775475
OML 100,83428.03692,2017-02,2017,02,7.791762278,3.949775475
OML 100,78403.43808,2017-03,2017,03,7.791762278,3.949775475
OML 100,118277.2303,2017-04,2017,04,7.791762278,3.949775475
OML 100,129402.9467,2017-05,2017,05,7.791762278,3.949775475
OML 100,126728.8108,2017-06,2017,06,7.791762278,3.949775475
OML 100,154477.4123,2017-07,2017,07,7.791762278,3.949775475
OML 100,195061.6983,2017-08,2017,08,7.791762278,3.949775475
OML 100,166502.2929,2017-09,2017,09,7.791762278,3.949775475
OML 100,102144.4294,2017-10,2017,10,7.791762278,3.949775475
OML 100,116006.9719,2017-11,2017,11,7.791762278,3.949775475
OML 100,129371.451,2017-12,2017,12,7.791762278,3.949775475
OML 100,96553.36868,2018-01,2018,01,7.791762278,3.949775475
OML 100,95999.06414,2018-02,2018,02,7.791762278,3.949775475
OML 100,141872.4056,2018-03,2018,03,7.791762278,3.949775475
OML 100,133064.0882,2018-04,2018,04,7.791762278,3.949775475
OML 100,129053.1903,2018-05,2018,05,7.791762278,3.949775475
OML 100,168154.5308,2018-06,2018,06,7.791762278,3.949775475
OML 100,148911.6529,2018-07,2018,07,7.791762278,3.949775475
OML 100,121090.2069,2018-08,2018,08,7.791762278,3.949775475
OML 100,121981.5688,2018-09,2018,09,7.791762278,3.949775475
OML 100,123851.8158,2018-10,2018,10,7.791762278,3.949775475
OML 100,141348.8116,2018-11,2018,11,7.791762278,3.949775475
OML 100,103110.5457,2018-12,2018,12,7.791762278,3.949775475
OML 100,97394.37127,2019-01,2019,01,7.791762278,3.949775475
OML 100,88123.35915,2019-02,2019,02,7.791762278,3.949775475
OML 100,130006.7532,2019-03,2019,03,7.791762278,3.949775475
OML 100,118795.2579,2019-04,2019,04,7.791762278,3.949775475
OML 100,137835.4343,2019-05,2019,05,7.791762278,3.949775475
OML 100,148447.102,2019-06,2019,06,7.791762278,3.949775475
OML 100,176042.1847,2019-07,2019,07,7.791762278,3.949775475
OML 100,125080.2374,2019-08,2019,08,7.791762278,3.949775475
OML 100,142352.6195,2019-09,2019,09,7.791762278,3.949775475
OML 100,141865.2296,2019-10,2019,10,7.791762278,3.949775475
OML 100,136986.8298,2019-11,2019,11,7.791762278,3.949775475
OML 100,128120.3762,2019-12,2019,12,7.791762278,3.949775475
OML 100,115692.7866,2020-01,2020,01,7.791762278,3.949775475
OML 100,85183.28745,2020-02,2020,02,7.791762278,3.949775475
OML 100,87652.32467,2020-03,2020,03,7.791762278,3.949775475
OML 100,105947.0576,2020-04,2020,04,7.791762278,3.949775475
OML 100,108442.0774,2020-05,2020,05,7.791762278,3.949775475
OML 100,135632.6149,2020-06,2020,06,7.791762278,3.949775475
OML 100,131481.4888,2020-07,2020,07,7.791762278,3.949775475
OML 100,134067.792,2020-08,2020,08,7.791762278,3.949775475
OML 100,110572.9655,2020-10,2020,10,7.791762278,3.949775475
OML 100,137846.3963,2020-11,2020,11,7.791762278,3.949775475
OML 100,123765.4251,2020-12,2020,12,7.791762278,3.949775475
OML 100,157897.5252,2021-01,2021,01,7.791762278,3.949775475
OML 100,107909.7665,2021-02,2021,02,7.791762278,3.949775475
OML 100,100548.8343,2021-03,2021,03,7.791762278,3.949775475
OML 100,47767.12827,2021-04,2021,04,7.791762278,3.949775475
