name,mscf,year-month,year,month
Offshore,13305345.2,2023-03,2023,03
Offshore,7347224.005,2023-04,2023,04
Offshore,13220066.85,2023-05,2023,05
Offshore,14794084.95,2023-06,2023,06
Offshore,5055297.491,2023-07,2023,07
Offshore,13417684.06,2023-08,2023,08
Offshore,11820122.88,2023-09,2023,09
Offshore,14415363.94,2023-10,2023,10
Onshore,14782739.15,2012-03,2012,03
Onshore,17877157.83,2012-04,2012,04
Onshore,19607595.67,2012-05,2012,05
Onshore,18467855.98,2012-06,2012,06
Onshore,11806617.72,2012-07,2012,07
Onshore,15583288.16,2012-08,2012,08
Onshore,15969721.41,2012-09,2012,09
Onshore,17192572.59,2012-10,2012,10
Onshore,16683162.77,2012-11,2012,11
Onshore,20419093,2012-12,2012,12
Onshore,19486974.08,2013-01,2013,01
Onshore,15683277.67,2013-02,2013,02
Onshore,19144708.32,2013-03,2013,03
Onshore,18712780.55,2013-04,2013,04
Onshore,17583298.18,2013-05,2013,05
Onshore,14513321.73,2013-06,2013,06
Onshore,10265959.07,2013-07,2013,07
Onshore,12156810.86,2013-08,2013,08
Onshore,8222962.105,2013-09,2013,09
Onshore,14485936.04,2013-10,2013,10
Onshore,17470052.3,2013-11,2013,11
Onshore,19662997.66,2013-12,2013,12
Onshore,16350738.26,2014-01,2014,01
Onshore,14055538.83,2014-02,2014,02
Onshore,15339553.19,2014-03,2014,03
Onshore,17328814.14,2014-04,2014,04
Onshore,15399729.4,2014-05,2014,05
Onshore,13559015.43,2014-06,2014,06
Onshore,14872465.7,2014-07,2014,07
Onshore,14310905.56,2014-08,2014,08
Onshore,13737151.2,2014-09,2014,09
Onshore,15358097.97,2014-10,2014,10
Onshore,17386091.74,2014-11,2014,11
Onshore,19116431.97,2014-12,2014,12
Onshore,18342464.79,2015-01,2015,01
Onshore,16502829.72,2015-02,2015,02
Onshore,13324810.09,2015-03,2015,03
Onshore,13093238.63,2015-04,2015,04
Onshore,14380945.6,2015-05,2015,05
Onshore,8051659.483,2015-06,2015,06
Onshore,9402522.753,2015-07,2015,07
Onshore,8984432.377,2015-08,2015,08
Onshore,11324899.19,2015-09,2015,09
Onshore,16069008.75,2015-10,2015,10
Onshore,19762982.15,2015-11,2015,11
Onshore,17713765.19,2015-12,2015,12
Onshore,19141432.98,2016-01,2016,01
Onshore,13431898.37,2016-02,2016,02
Onshore,14521439.96,2016-03,2016,03
Onshore,15093593.53,2016-04,2016,04
Onshore,13949487.2,2016-05,2016,05
Onshore,11217370.92,2016-06,2016,06
Onshore,13507444.13,2016-07,2016,07
Onshore,9713624.692,2016-08,2016,08
Onshore,10870777.76,2016-09,2016,09
Onshore,14536771.54,2016-10,2016,10
Onshore,16328780.37,2016-11,2016,11
Onshore,13399406.06,2016-12,2016,12
Onshore,14973405.68,2017-01,2017,01
Onshore,12250944.64,2017-02,2017,02
Onshore,13467714.06,2017-03,2017,03
Onshore,12372946.1,2017-04,2017,04
Onshore,18061649.15,2017-05,2017,05
Onshore,22557421.17,2017-06,2017,06
Onshore,13861952.87,2017-07,2017,07
Onshore,13474551.05,2017-08,2017,08
Onshore,12981467.53,2017-09,2017,09
Onshore,19297565.92,2017-10,2017,10
Onshore,19666942.43,2017-11,2017,11
Onshore,18513605.46,2017-12,2017,12
Onshore,19766656.3,2018-01,2018,01
Onshore,18539866.1,2018-02,2018,02
Onshore,24093680.16,2018-03,2018,03
Onshore,18010953.62,2018-04,2018,04
Onshore,20656941.59,2018-05,2018,05
Onshore,17614472.95,2018-06,2018,06
Onshore,18714316.87,2018-07,2018,07
Onshore,17729569.4,2018-08,2018,08
Onshore,18538605.68,2018-09,2018,09
Onshore,19188891.28,2018-10,2018,10
Onshore,24853655.93,2018-11,2018,11
Onshore,26774886.61,2018-12,2018,12
Onshore,24794300.32,2019-01,2019,01
Onshore,20378765.21,2019-02,2019,02
Onshore,20784838.98,2019-03,2019,03
Onshore,20511265.92,2019-04,2019,04
Onshore,21661407,2019-05,2019,05
Onshore,16334452.1,2019-06,2019,06
Onshore,16510850.99,2019-07,2019,07
Onshore,14355037.24,2019-08,2019,08
Onshore,13055390.12,2019-09,2019,09
Onshore,19921938.11,2019-10,2019,10
Onshore,17703904.21,2019-11,2019,11
Onshore,27133389.65,2019-12,2019,12
Onshore,23041736.16,2020-01,2020,01
Onshore,17156723.05,2020-02,2020,02
Onshore,19272478.67,2020-03,2020,03
