name,mscf,yearmonth,year,month,x,y
Ahoada West,295904.6186,2013-10,2013,10,6.520258896,5.061950221
Ahoada West,391667.7502,2013-11,2013,11,6.520258896,5.061950221
Ahoada West,343338.8339,2013-12,2013,12,6.520258896,5.061950221
Ahoada West,354314.4661,2014-01,2014,01,6.520258896,5.061950221
Ahoada West,288641.5163,2014-02,2014,02,6.520258896,5.061950221
Ahoada West,392860.2431,2014-03,2014,03,6.520258896,5.061950221
Ahoada West,377806.7667,2014-04,2014,04,6.520258896,5.061950221
Ahoada West,428299.8894,2014-05,2014,05,6.520258896,5.061950221
Ahoada West,315592.0484,2014-06,2014,06,6.520258896,5.061950221
Ahoada West,239436.9598,2014-07,2014,07,6.520258896,5.061950221
Ahoada West,309098.2772,2014-08,2014,08,6.520258896,5.061950221
Ahoada West,147333.616,2014-09,2014,09,6.520258896,5.061950221
Ahoada West,415691.0452,2014-10,2014,10,6.520258896,5.061950221
Ahoada West,291575.1698,2014-11,2014,11,6.520258896,5.061950221
Ahoada West,441069.4415,2014-12,2014,12,6.520258896,5.061950221
Ahoada West,346768.5949,2015-01,2015,01,6.520258896,5.061950221
Ahoada West,423209.3891,2015-02,2015,02,6.520258896,5.061950221
Ahoada West,315125.1881,2015-03,2015,03,6.520258896,5.061950221
Ahoada West,351746.1534,2015-04,2015,04,6.520258896,5.061950221
Ahoada West,323257.2223,2015-05,2015,05,6.520258896,5.061950221
Ahoada West,236918.0177,2015-06,2015,06,6.520258896,5.061950221
Ahoada West,202617.6427,2015-07,2015,07,6.520258896,5.061950221
Ahoada West,85238.53884,2015-08,2015,08,6.520258896,5.061950221
Ahoada West,210077.6048,2015-09,2015,09,6.520258896,5.061950221
Ahoada West,250175.6991,2015-10,2015,10,6.520258896,5.061950221
Ahoada West,380588.0079,2015-11,2015,11,6.520258896,5.061950221
Ahoada West,208310.8448,2015-12,2015,12,6.520258896,5.061950221
Ahoada West,240260.4758,2016-01,2016,01,6.520258896,5.061950221
Ahoada West,262325.252,2016-02,2016,02,6.520258896,5.061950221
Ahoada West,230110.1837,2016-03,2016,03,6.520258896,5.061950221
Ahoada West,376879.2214,2016-04,2016,04,6.520258896,5.061950221
Ahoada West,340526.4104,2016-05,2016,05,6.520258896,5.061950221
Ahoada West,283831.334,2016-06,2016,06,6.520258896,5.061950221
Ahoada West,383048.5526,2016-07,2016,07,6.520258896,5.061950221
Ahoada West,354837.2051,2016-08,2016,08,6.520258896,5.061950221
Ahoada West,339919.951,2016-09,2016,09,6.520258896,5.061950221
Ahoada West,327010.6954,2016-10,2016,10,6.520258896,5.061950221
Ahoada West,339449.1775,2016-11,2016,11,6.520258896,5.061950221
Ahoada West,300568.1735,2016-12,2016,12,6.520258896,5.061950221
Ahoada West,302717.4357,2017-01,2017,01,6.520258896,5.061950221
Ahoada West,262962.4763,2017-02,2017,02,6.520258896,5.061950221
Ahoada West,333036.7479,2017-03,2017,03,6.520258896,5.061950221
Ahoada West,275748.266,2017-04,2017,04,6.520258896,5.061950221
Ahoada West,312023.3412,2017-05,2017,05,6.520258896,5.061950221
Ahoada West,278098.2577,2017-06,2017,06,6.520258896,5.061950221
Ahoada West,229393.4395,2017-07,2017,07,6.520258896,5.061950221
Ahoada West,102585.3493,2017-08,2017,08,6.520258896,5.061950221
Ahoada West,240032.6274,2017-09,2017,09,6.520258896,5.061950221
Ahoada West,203092.2723,2017-10,2017,10,6.520258896,5.061950221
Ahoada West,289525.6567,2017-11,2017,11,6.520258896,5.061950221
Ahoada West,183775.478,2017-12,2017,12,6.520258896,5.061950221
Ahoada West,244620.7629,2018-01,2018,01,6.520258896,5.061950221
Ahoada West,250525.6961,2018-02,2018,02,6.520258896,5.061950221
Ahoada West,333309.0978,2018-03,2018,03,6.520258896,5.061950221
Ahoada West,198611.8974,2018-04,2018,04,6.520258896,5.061950221
Ahoada West,248206.241,2018-05,2018,05,6.520258896,5.061950221
Ahoada West,266029.8793,2018-06,2018,06,6.520258896,5.061950221
Ahoada West,250461.7866,2018-07,2018,07,6.520258896,5.061950221
Ahoada West,330711.57,2018-08,2018,08,6.520258896,5.061950221
Ahoada West,270604.1035,2018-09,2018,09,6.520258896,5.061950221
Ahoada West,305237.1402,2018-10,2018,10,6.520258896,5.061950221
Ahoada West,559983.0275,2018-11,2018,11,6.520258896,5.061950221
Ahoada West,336364.5049,2018-12,2018,12,6.520258896,5.061950221
Ahoada West,357299.1447,2019-01,2019,01,6.520258896,5.061950221
Ahoada West,301407.8916,2019-02,2019,02,6.520258896,5.061950221
Ahoada West,393418.0841,2019-03,2019,03,6.520258896,5.061950221
Ahoada West,420703.6584,2019-04,2019,04,6.520258896,5.061950221
Ahoada West,293329.0525,2019-05,2019,05,6.520258896,5.061950221
Ahoada West,137665.2204,2019-06,2019,06,6.520258896,5.061950221
Ahoada West,267608.5578,2019-07,2019,07,6.520258896,5.061950221
Ahoada West,97422.79774,2019-08,2019,08,6.520258896,5.061950221
Ahoada West,141725.6819,2019-09,2019,09,6.520258896,5.061950221
Ahoada West,129666.1475,2019-10,2019,10,6.520258896,5.061950221
Ahoada West,139903.1943,2019-11,2019,11,6.520258896,5.061950221
Ahoada West,159361.8474,2019-12,2019,12,6.520258896,5.061950221
Ahoada West,138852.911,2020-01,2020,01,6.520258896,5.061950221
Ahoada West,125430.1123,2020-02,2020,02,6.520258896,5.061950221
Ahoada West,116989.2113,2020-03,2020,03,6.520258896,5.061950221
Ahoada West,136489.5019,2020-04,2020,04,6.520258896,5.061950221
Ahoada West,196480.2669,2020-05,2020,05,6.520258896,5.061950221
Ahoada West,414299.524,2020-06,2020,06,6.520258896,5.061950221
Ahoada West,173684.6033,2020-07,2020,07,6.520258896,5.061950221
Ahoada West,151137.5451,2020-08,2020,08,6.520258896,5.061950221
Ahoada West,26245.58075,2020-09,2020,09,6.520258896,5.061950221
Ahoada West,108609.3135,2020-10,2020,10,6.520258896,5.061950221
Ahoada West,149118.9566,2020-11,2020,11,6.520258896,5.061950221
Ahoada West,288024.038,2020-12,2020,12,6.520258896,5.061950221
Ahoada West,191148.7982,2021-01,2021,01,6.520258896,5.061950221
Ahoada West,229486.6005,2021-02,2021,02,6.520258896,5.061950221
Ahoada West,87276.89331,2021-03,2021,03,6.520258896,5.061950221
Ahoada West,103469.3654,2021-04,2021,04,6.520258896,5.061950221
Ahoada West,433055.7519,2021-05,2021,05,6.520258896,5.061950221
Ahoada West,169948.9979,2021-07,2021,07,6.520258896,5.061950221
Ahoada West,83664.21623,2021-09,2021,09,6.520258896,5.061950221
Ahoada West,407665.1511,2021-10,2021,10,6.520258896,5.061950221
Ahoada West,141942.97,2021-11,2021,11,6.520258896,5.061950221
Ahoada West,149791.0801,2021-12,2021,12,6.520258896,5.061950221
Ahoada West,233727.2086,2022-01,2022,01,6.520258896,5.061950221
Ahoada West,184113.4247,2022-02,2022,02,6.520258896,5.061950221
Ahoada West,122615.5022,2022-03,2022,03,6.520258896,5.061950221
Ahoada West,243463.6696,2022-05,2022,05,6.520258896,5.061950221
Ahoada West,17473.34112,2022-06,2022,06,6.520258896,5.061950221
Ahoada West,143050.0152,2022-08,2022,08,6.520258896,5.061950221
Ahoada West,211071.3545,2022-09,2022,09,6.520258896,5.061950221
Ahoada West,89684.88385,2022-10,2022,10,6.520258896,5.061950221
Ahoada West,255565.2271,2022-11,2022,11,6.520258896,5.061950221
Ahoada West,190886.8976,2022-12,2022,12,6.520258896,5.061950221
Ahoada West,41408.76473,2023-05,2023,05,6.520258896,5.061950221
Ahoada West,182133.2162,2023-06,2023,06,6.520258896,5.061950221
Ahoada West,568828.1046,2023-07,2023,07,6.520258896,5.061950221
Ahoada West,220378.7798,2023-08,2023,08,6.520258896,5.061950221
Ahoada West,207741.2266,2023-09,2023,09,6.520258896,5.061950221
Ahoada West,397406.0075,2023-10,2023,10,6.520258896,5.061950221
Akuku Toru,1022256.865,2012-03,2012,03,6.699427835,4.535780607
Akuku Toru,762538.2091,2012-04,2012,04,6.699427835,4.535780607
Akuku Toru,1293824.289,2012-05,2012,05,6.699427835,4.535780607
Akuku Toru,533639.2288,2012-06,2012,06,6.699427835,4.535780607
Akuku Toru,579611.6847,2012-07,2012,07,6.699427835,4.535780607
Akuku Toru,730450.8035,2012-08,2012,08,6.699427835,4.535780607
Akuku Toru,1242241.267,2012-09,2012,09,6.699427835,4.535780607
Akuku Toru,1197887.278,2012-10,2012,10,6.699427835,4.535780607
Akuku Toru,1118835.951,2012-11,2012,11,6.699427835,4.535780607
Akuku Toru,1779956.458,2012-12,2012,12,6.699427835,4.535780607
Akuku Toru,1228015.655,2013-01,2013,01,6.699427835,4.535780607
Akuku Toru,1210284.641,2013-02,2013,02,6.699427835,4.535780607
Akuku Toru,678050.0213,2013-03,2013,03,6.699427835,4.535780607
Akuku Toru,672395.7631,2013-04,2013,04,6.699427835,4.535780607
Akuku Toru,442861.9388,2013-05,2013,05,6.699427835,4.535780607
Akuku Toru,174052.3326,2013-06,2013,06,6.699427835,4.535780607
Akuku Toru,123486.7448,2013-08,2013,08,6.699427835,4.535780607
Akuku Toru,133235.2931,2013-09,2013,09,6.699427835,4.535780607
Akuku Toru,612273.247,2013-10,2013,10,6.699427835,4.535780607
Akuku Toru,879667.7374,2013-11,2013,11,6.699427835,4.535780607
Akuku Toru,1543459.574,2013-12,2013,12,6.699427835,4.535780607
Akuku Toru,1477789.394,2014-01,2014,01,6.699427835,4.535780607
Akuku Toru,1622671.089,2014-02,2014,02,6.699427835,4.535780607
Akuku Toru,1100199.883,2014-03,2014,03,6.699427835,4.535780607
Akuku Toru,1595499.895,2014-04,2014,04,6.699427835,4.535780607
Akuku Toru,1247499.723,2014-05,2014,05,6.699427835,4.535780607
Akuku Toru,730722.9639,2014-06,2014,06,6.699427835,4.535780607
Akuku Toru,1285768.852,2014-07,2014,07,6.699427835,4.535780607
Akuku Toru,578482.7581,2014-08,2014,08,6.699427835,4.535780607
Akuku Toru,1168206.5,2014-09,2014,09,6.699427835,4.535780607
Akuku Toru,1186708.924,2014-10,2014,10,6.699427835,4.535780607
Akuku Toru,730567.9454,2014-11,2014,11,6.699427835,4.535780607
Akuku Toru,640955.5516,2014-12,2014,12,6.699427835,4.535780607
Akuku Toru,691176.0044,2015-01,2015,01,6.699427835,4.535780607
Akuku Toru,1140948.09,2015-02,2015,02,6.699427835,4.535780607
Akuku Toru,1011767.566,2015-03,2015,03,6.699427835,4.535780607
Akuku Toru,678498.6668,2015-04,2015,04,6.699427835,4.535780607
Akuku Toru,666083.1949,2015-05,2015,05,6.699427835,4.535780607
Akuku Toru,502763.2201,2015-06,2015,06,6.699427835,4.535780607
Akuku Toru,809871.2192,2015-07,2015,07,6.699427835,4.535780607
Akuku Toru,770692.3649,2015-08,2015,08,6.699427835,4.535780607
Akuku Toru,515936.4281,2015-09,2015,09,6.699427835,4.535780607
Akuku Toru,893969.8088,2015-10,2015,10,6.699427835,4.535780607
Akuku Toru,1001812.506,2015-11,2015,11,6.699427835,4.535780607
Akuku Toru,860464.0986,2015-12,2015,12,6.699427835,4.535780607
Akuku Toru,1014586.232,2016-01,2016,01,6.699427835,4.535780607
Akuku Toru,797608.6212,2016-02,2016,02,6.699427835,4.535780607
Akuku Toru,945033.7498,2016-03,2016,03,6.699427835,4.535780607
Akuku Toru,905491.335,2016-04,2016,04,6.699427835,4.535780607
Akuku Toru,825235.2896,2016-05,2016,05,6.699427835,4.535780607
Akuku Toru,700240.66,2016-06,2016,06,6.699427835,4.535780607
Akuku Toru,827227.9348,2016-07,2016,07,6.699427835,4.535780607
Akuku Toru,774558.441,2016-08,2016,08,6.699427835,4.535780607
Akuku Toru,874112.3901,2016-09,2016,09,6.699427835,4.535780607
Akuku Toru,930838.6383,2016-10,2016,10,6.699427835,4.535780607
Akuku Toru,697222.6068,2016-11,2016,11,6.699427835,4.535780607
Akuku Toru,901107.0342,2016-12,2016,12,6.699427835,4.535780607
Akuku Toru,931301.8273,2017-01,2017,01,6.699427835,4.535780607
Akuku Toru,828739.377,2017-02,2017,02,6.699427835,4.535780607
Akuku Toru,865350.4226,2017-03,2017,03,6.699427835,4.535780607
Akuku Toru,1191260.211,2017-04,2017,04,6.699427835,4.535780607
Akuku Toru,1343800.284,2017-05,2017,05,6.699427835,4.535780607
Akuku Toru,1450475.868,2017-06,2017,06,6.699427835,4.535780607
Akuku Toru,666319.8556,2017-07,2017,07,6.699427835,4.535780607
Akuku Toru,734707.352,2017-08,2017,08,6.699427835,4.535780607
Akuku Toru,646432.9492,2017-09,2017,09,6.699427835,4.535780607
Akuku Toru,1025023.031,2017-10,2017,10,6.699427835,4.535780607
Akuku Toru,839354.2966,2017-11,2017,11,6.699427835,4.535780607
Akuku Toru,842177.6709,2017-12,2017,12,6.699427835,4.535780607
Akuku Toru,884849.1182,2018-01,2018,01,6.699427835,4.535780607
Akuku Toru,947562.4511,2018-02,2018,02,6.699427835,4.535780607
Akuku Toru,772433.8558,2018-03,2018,03,6.699427835,4.535780607
Akuku Toru,455336.7446,2018-04,2018,04,6.699427835,4.535780607
Akuku Toru,648706.5424,2018-05,2018,05,6.699427835,4.535780607
Akuku Toru,1139264.521,2018-06,2018,06,6.699427835,4.535780607
